uniprot_id,data_split
Q06124,test
P35235,test
Q9NWZ3,test
P29597,test
P00749,test
Q12852,test
Q60700,test
Q9TSZ1,test
P00797,test
Q6DLW5,test
Q6DLS0,test
Q9AIU7,test
P35991,test
Q06187,test
Q5S255,test
P48025,test
Q64725,test
P43405,test
Q08881,test
Q03526,test
P56818,test
P56817,test
P56819,test
G3IAK4,test
Q8R3L8,test
P49336,test
P18031,test
P02762,test
P34913,test
P45983,test
P49185,test
Q91Y86,test
P53779,test
P49187,test
Q61831,test
O60885,test
Q9ESU6,test
Q62120,test
O60674,test
Q62689,test
Q5FVF5,test
P23458,test
P52332,test
P24941,test
P00734,test
P07900,test
P07901,test
P00720,test
Q99814,test
P56221,test
P00742,test
P08246,test
Q01279,test
P00533,test
Q07820,test
P97612,test
O08914,test
P52732,test
P17931,test
O14757,test
Q8IZX4,test
P21675,test
Q3UES3,test
Q9H2K2,test
P47811,test
Q16539,test
P70618,test
Q75ZY9,test
P08581,test
Q16875,test
P03369,test
Q72874,test
Q9YQ12,test
Q9YQ30,test
O90781,test
Q5RZ09,test
Q72547,test
P04585,test
Q9WKE8,test
Q9WJQ2,test
T1QYY3,test
Q7ZJM1,test
P18762,train/val
P10608,train/val
P04274,train/val
Q02644,train/val
P43115,train/val
Q68D91,train/val
Q9UGI6,train/val
P70605,train/val
P11597,train/val
P30546,train/val
P49588,train/val
Q05823,train/val
P00352,train/val
P30838,train/val
P47895,train/val
Q63085,train/val
Q13255,train/val
P23385,train/val
P97772,train/val
P13945,train/val
Q28524,train/val
F6XZF4,train/val
Q922D8,train/val
P11586,train/val
P02773,train/val
P78527,train/val
P00451,train/val
P06537,train/val
P06536,train/val
Q11128,train/val
P35365,train/val
O75038,train/val
P41252,train/val
P23786,train/val
P11717,train/val
Q01984,train/val
O43570,train/val
P08575,train/val
Q63563,train/val
O60706,train/val
P0A7G6,train/val
P56526,train/val
P68849,train/val
Q16853,train/val
Q9H227,train/val
P40394,train/val
P49881,train/val
P50282,train/val
P03924,train/val
P42335,train/val
B2RXC2,train/val
P55212,train/val
Q9ERC0,train/val
P49146,train/val
G1TSD5,train/val
P97295,train/val
P01130,train/val
P14100,train/val
P54750,train/val
Q9EPR9,train/val
P30304,train/val
Q14790,train/val
Q14831,train/val
P35400,train/val
Q68ED2,train/val
Q80T43,train/val
Q14416,train/val
P31421,train/val
Q9NQW7,train/val
A6H5Y3,train/val
Q99707,train/val
O95622,train/val
